foodName_id,foodName_en,category,mealType,calories,protein,carbs,fat
Wortel (1/4 dicincang dalam saus),Carrot (1/4 minced in sauce),Vegetable,Dinner,10,0.2,2.4,0.1
Seledri (1/4 batang cincang),Celery (1/4 stalk minced),Vegetable,Dinner,2,0.1,0.4,0.0
Bawang bombay (1/8 dicincang dengan saus),Onion (1/8 minced in sauce),Vegetable,Dinner,5,0.1,1.2,0.0
Tomat Hancur (1/2 cangkir saus),Crushed Tomatoes (1/2 cup sauce),Vegetable,Dinner,20,1.0,4.0,0.0
Parmigiano-Reggiano (1 sdm),Parmigiano-Reggiano (1 tbsp),Dairy,Dinner,22,2.0,0.2,1.5
Cannoli (1 sedang),Cannoli (1 medium),Dessert,Snack,240,5.0,25.0,13.0
Ricotta (isi 1 ons),Ricotta (filling 1 oz),Dairy,Snack,49,3.2,0.8,3.8
Pistachio (hiasan),Pistachio (garnish),Nut,Snack,10,0.4,0.5,0.8
Biscotti (1 kue),Biscotti (1 cookie),Dessert,Snack,110,2.0,18.0,4.0
Espresso (untuk dicelupkan),Espresso (for dipping),Beverage,Snack,2,0.2,0.0,0.0
Focaccia (1 kotak),Focaccia (1 square),Grain,Lunch,250,8.0,40.0,7.0
Rosemary (1 sdt topping),Rosemary (1 tsp topping),Condiment,Lunch,1,0.0,0.2,0.0
Garam Kasar (hiasan),Coarse Salt (garnish),Condiment,Lunch,0,0.0,0.0,0.0
Minyak Zaitun (1 sdm gerimis),Olive Oil (1 tbsp drizzle),Condiment,Lunch,120,0.0,0.0,14.0
Bruschetta (2 buah),Bruschetta (2 pcs),Snack/Appetizer,Snack,180,4.0,25.0,7.0
Glasir Balsamic (1 sdt),Balsamic Glaze (1 tsp),Condiment,Snack,13,0.0,3.0,0.0
"Ribollita (1,5 cangkir sup)",Ribollita (1.5 cups soup),Meal/Soup,Dinner,350,15.0,55.0,8.0
Kacang Cannellini (1/2 cangkir dalam sup),Cannellini Beans (1/2 cup in soup),Legume,Dinner,105,7.0,20.0,0.5
Kangkung (1 cangkir dalam sup),Kale (1 cup in soup),Vegetable,Dinner,33,2.9,6.0,0.6
Roti Basi (1/2 cangkir dalam sup),Stale Bread (1/2 cup in soup),Grain,Dinner,80,3.0,15.0,1.0
Polenta (1 cangkir krim),Polenta (1 cup creamy),Meal/Grain,Dinner,150,3.0,32.0,1.0
Keju Gorgonzola (1 ons),Gorgonzola Cheese (1 oz),Dairy,Dinner,100,6.0,0.7,8.0
Negroni (1 minuman),Negroni (1 drink),Beverage,Snack,190,0.0,15.0,0.0
Gin (1 ons),Gin (1 oz),Beverage,Snack,70,0.0,0.0,0.0
Campari (1 ons),Campari (1 oz),Beverage,Snack,80,0.0,10.0,0.0
Vermouth Manis (1 ons),Sweet Vermouth (1 oz),Beverage,Snack,40,0.0,5.0,0.0
Kulit Jeruk (hiasan),Orange Peel (garnish),Condiment,Snack,1,0.0,0.2,0.0
Osso Buco (1 porsi),Osso Buco (1 serving),Meal/Meat,Dinner,550,45.0,15.0,30.0
Gremolata (1 sdm),Gremolata (1 tbsp),Condiment,Dinner,15,0.5,1.0,1.0
Risotto alla Milanese (1 cangkir),Risotto alla Milanese (1 cup),Meal/Rice,Dinner,350,10.0,50.0,12.0
Saffron (sejumput di risotto),Saffron (pinch in risotto),Condiment,Dinner,1,0.0,0.1,0.0
Panetton (1 potong),Panettone (1 slice),Dessert,Snack,320,6.0,50.0,12.0
Manisan Buah (1 sdm),Candied Fruit (1 tbsp),Fruit,Snack,30,0.0,8.0,0.0
Kue Amaretti (2 kue),Amaretti Cookie (2 cookies),Dessert,Snack,90,2.0,12.0,4.0
"Limoncello (suntikan 1,5 ons)",Limoncello (1.5 oz shot),Beverage,Snack,150,0.0,18.0,0.0
Panna Cotta (1 porsi),Panna Cotta (1 serving),Dessert,Snack,300,4.0,25.0,20.0
Berry Coulis (1 sdm),Berry Coulis (1 tbsp),Condiment,Snack,20,0.0,5.0,0.0
Saltimbocca (1 porsi),Saltimbocca (1 serving),Meal/Meat,Dinner,380,38.0,5.0,22.0
Prosciutto (1 potong bungkus),Prosciutto (1 slice wrapper),Protein/Meat,Dinner,35,4.0,0.0,2.5
Sage (2 daun),Sage (2 leaves),Condiment,Dinner,1,0.0,0.1,0.0
Saus Anggur Putih (1/4 cangkir),White Wine Sauce (1/4 cup),Condiment,Dinner,80,1.0,4.0,6.0
Polenta (panggang 1 potong),Polenta (grilled 1 slice),Meal/Grain,Dinner,120,2.5,25.0,1.0
Caponata (1/2 cangkir),Caponata (1/2 cup),Meal/Vegetable,Dinner,180,2.0,15.0,14.0
Terong (1/2 cangkir dalam caponata),Eggplant (1/2 cup in caponata),Vegetable,Dinner,40,0.5,6.0,2.0
Kacang Pinus (1/2 sdm),Pine Nuts (1/2 tbsp),Nut,Dinner,48,1.0,1.0,5.0
Kismis (1 sdm),Raisins (1 tbsp),Fruit,Dinner,27,0.3,7.0,0.0
Gelato (Pistachio 1/2 cangkir),Gelato (Pistachio 1/2 cup),Dessert,Snack,220,5.0,24.0,12.0
Kerucut Wafel (1 kecil),Waffle Cone (1 small),Grain,Snack,70,1.0,13.0,1.5
"Cacio e Pepe (1,5 cangkir)",Cacio e Pepe (1.5 cups),Meal/Pasta,Dinner,500,18.0,65.0,19.0
Pecorino Romano (1/4 cangkir),Pecorino Romano (1/4 cup),Dairy,Dinner,110,7.5,1.0,8.5
Lada Hitam (1/2 sdt),Black Pepper (1/2 tsp),Condiment,Dinner,3,0.1,0.7,0.0
Steak Fiorentina (porsi 3oz),Fiorentina Steak (3oz portion),Protein/Meat,Dinner,230,24.0,0.0,15.0
Minyak Zaitun (1 sdm gerimis),Olive Oil (1 tbsp drizzle),Condiment,Dinner,120,0.0,0.0,14.0
Rosemary (hiasan),Rosemary (garnish),Condiment,Dinner,1,0.0,0.2,0.0
Kacang Putih (gaya Tuscan 1/2 cangkir),White Beans (Tuscan style 1/2 cup),Legume,Dinner,150,8.0,20.0,4.0
Bawang putih (1 siung dalam kacang),Garlic (1 clove in beans),Vegetable,Dinner,4,0.2,0.9,0.0
Sage (dalam kacang),Sage (in beans),Condiment,Dinner,1,0.0,0.1,0.0
Arancini (1 bola besar),Arancini (1 large ball),Snack/Processed,Snack,250,9.0,30.0,10.0
Ragù (isi 1 sdm),Ragù (filling 1 tbsp),Condiment,Snack,25,1.5,1.0,1.5
"Mozzarella (isi 0,5 ons)",Mozzarella (filling 0.5 oz),Dairy,Snack,40,3.0,0.5,3.0
Remah roti (pelapis),Breadcrumbs (coating),Grain,Snack,25,0.5,4.0,0.5
Campari & Soda (1 minuman),Campari & Soda (1 drink),Beverage,Snack,85,0.0,10.0,0.0
Zaitun (hiasan),Olive (garnish),Fruit,Snack,5,0.0,0.1,0.5
Vitello Tonnato (1 porsi),Vitello Tonnato (1 serving),Meal/Meat,Lunch,380,35.0,3.0,25.0
Saus Tuna (2 sdm),Tuna Sauce (2 tbsp),Condiment,Lunch,100,4.0,1.0,9.0
Caper (hiasan),Capers (garnish),Condiment,Lunch,2,0.2,0.4,0.1
Irisan Lemon (hiasan),Lemon Slice (garnish),Condiment,Lunch,1,0.0,0.3,0.0
"Gnocchi alla Sorrentina (1,5 cangkir)",Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,Dinner,450,15.0,60.0,18.0
Saus Tomat (1/2 cangkir),Tomato Sauce (1/2 cup),Condiment,Dinner,40,1.5,7.0,1.0
Mozzarella (1 ons meleleh),Mozzarella (1 oz melted),Dairy,Dinner,80,6.0,1.0,6.0
Kemangi (hiasan segar),Basil (fresh garnish),Condiment,Dinner,1,0.1,0.0,0.0
Parmigiano-Reggiano (1 sdm),Parmigiano-Reggiano (1 tbsp),Dairy,Dinner,22,2.0,0.2,1.5
Pesto (1/4 cangkir),Pesto (1/4 cup),Condiment,Dinner,290,5.0,4.0,29.0
Kacang Pinus (1 sdm dalam pesto),Pine Nuts (1 tbsp in pesto),Nut,Dinner,95,2.0,2.0,10.0
Bawang putih (1/2 siung dalam pesto),Garlic (1/2 clove in pesto),Vegetable,Dinner,2,0.1,0.5,0.0
Trofie Pasta (1 cangkir dimasak),Trofie Pasta (1 cup cooked),Grain,Dinner,210,7.0,43.0,1.0
Kacang Hijau (1/2 cangkir dengan pasta),Green Beans (1/2 cup w/ pasta),Vegetable,Dinner,15,0.9,3.5,0.1
Kentang (1/2 w/ pasta),Potato (1/2 w/ pasta),Vegetable,Dinner,65,1.0,15.0,0.1
Espresso Martini (1 minuman),Espresso Martini (1 drink),Beverage,Snack,280,0.5,25.0,0.0
"Vodka (1,5 ons)",Vodka (1.5 oz),Beverage,Snack,97,0.0,0.0,0.0
Minuman Keras Kopi (1 ons),Coffee Liqueur (1 oz),Beverage,Snack,100,0.0,15.0,0.0
Espresso (1 ons minuman),Espresso (1 oz in drink),Beverage,Snack,3,0.3,0.0,0.1
Sirup Sederhana (1/2 ons),Simple Syrup (1/2 oz),Condiment,Snack,30,0.0,8.0,0.0
Biji Kopi (3 hiasan),Coffee Beans (3 garnish),Snack,Snack,2,0.1,0.3,0.0
Baba Ganoush (1/4 cangkir),Baba Ganoush (1/4 cup),Meal/Vegetable,Snack,100,2.0,8.0,7.0
Roti Pita (1 putih),Pita Bread (1 white),Grain,Snack,165,5.5,33.0,1.2
Falafel (3 buah),Falafel (3 pieces),Meal/Vegetarian,Lunch,180,6.0,18.0,9.0
Saus Tahini (1 sdm),Tahini Sauce (1 tbsp),Condiment,Lunch,30,1.0,1.5,2.5
Acar Lobak (2 sdm),Pickled Turnips (2 tbsp),Vegetable,Lunch,10,0.2,2.0,0.0
Shawarma (Ayam 1 bungkus),Shawarma (Chicken 1 wrap),Meal/Processed,Lunch,550,30.0,50.0,25.0
Saus Bawang Putih (1 sdm),Garlic Sauce (1 tbsp),Condiment,Lunch,90,0.1,1.0,10.0
Hummus (1/4 cangkir),Hummus (1/4 cup),Legume,Lunch,130,5.0,10.0,8.0
Tabouli (1/2 cangkir),Tabouli (1/2 cup),Meal/Vegetarian,Lunch,120,3.0,15.0,6.0
Bulgur (1/4 cangkir dalam tabouli),Bulgur (1/4 cup in tabouli),Grain,Lunch,76,2.7,16.8,0.2
Peterseli (1/4 cangkir dalam tabouli),Parsley (1/4 cup in tabouli),Vegetable,Lunch,5,0.3,1.0,0.1
Mint (1 sdm dalam tabouli),Mint (1 tbsp in tabouli),Condiment,Lunch,1,0.1,0.1,0.0
Jus Lemon (1 sdm saus),Lemon Juice (1 tbsp dressing),Condiment,Lunch,4,0.1,1.3,0.0
Minyak Zaitun (1 sdm saus),Olive Oil (1 tbsp dressing),Condiment,Lunch,120,0.0,0.0,14.0
Kibbeh (goreng 1 potong),Kibbeh (1 piece fried),Meal/Meat,Snack,230,9.0,20.0,13.0
Kacang Pinus (1/2 sdm isian),Pine Nuts (1/2 tbsp filling),Nut,Snack,48,1.0,1.0,5.0
Daging Domba Giling (isian 1 ons),Ground Lamb (1 oz filling),Protein/Meat,Snack,80,5.5,0.0,6.0
Bulgur (1 sdm cangkang),Bulgur (1 tbsp shell),Grain,Snack,15,0.5,3.4,0.0
Sup Lentil (1 cangkir Timur Tengah),Lentil Soup (1 cup Middle Eastern),Meal/Legume,Lunch,200,10.0,30.0,5.0
Jinten (1 sdt),Cumin (1 tsp),Condiment,Lunch,8,0.3,1.5,0.5
Ketumbar (1 sdt),Coriander (1 tsp),Condiment,Lunch,5,0.1,1.0,0.2
Jus Lemon (1 sdt dalam sup),Lemon Juice (1 tsp in soup),Condiment,Lunch,1,0.0,0.4,0.0
Keripik Pita (1 ons),Pita Crisps (1 oz),Snack/Processed,Lunch,130,3.0,18.0,5.0
Manakeesh (Za'atar 1 kecil),Manakeesh (Za'atar 1 small),Meal/Vegetarian,Breakfast,300,7.0,45.0,10.0
Za'atar (1 sdm),Za'atar (1 tbsp),Condiment,Breakfast,40,1.0,3.0,3.0
Minyak Zaitun (1 sdm pada roti),Olive Oil (1 tbsp on bread),Condiment,Breakfast,120,0.0,0.0,14.0
Labneh (2 sdm),Labneh (2 tbsp),Dairy,Breakfast,60,4.0,2.0,4.0
Mentimun (1/4 cangkir sisi),Cucumber (1/4 cup side),Vegetable,Breakfast,8,0.3,1.8,0.0
Tomat (1/4 cangkir sisi),Tomato (1/4 cup side),Vegetable,Breakfast,8,0.3,1.8,0.1
Zaitun (5 sisi),Olives (5 side),Fruit,Breakfast,35,0.2,1.0,3.5
Teh Mint (1 cangkir),Mint Tea (1 cup),Beverage,Breakfast,2,0.1,0.5,0.0
Daun Anggur Isi (3 pcs),Stuffed Grape Leaves (3 pcs),Meal/Vegetarian,Snack,150,3.0,20.0,7.0
Nasi (isian 1/4 cangkir),Rice (1/4 cup filling),Grain,Snack,51,1.1,11.1,0.1
Kopi Turki (1 cangkir kecil),Turkish Coffee (1 small cup),Beverage,Snack,5,0.2,0.5,0.0
Kapulaga (dalam kopi),Cardamom (in coffee),Condiment,Snack,1,0.0,0.2,0.0
Shish Tawook (2 tusuk sate),Shish Tawook (2 skewers),Meal/Meat,Dinner,300,35.0,5.0,16.0
Saus Bawang Putih (Toum 1 sdm),Garlic Sauce (Toum 1 tbsp),Condiment,Dinner,90,0.1,1.0,10.0
Kentang Goreng (sisi),French Fries (side),Vegetable/Processed,Dinner,340,4.0,44.0,17.0
Acar Mentimun (1/4 cangkir),Pickled Cucumber (1/4 cup),Vegetable,Dinner,10,0.5,2.0,0.0
"Salad Fattoush (1,5 cangkir)",Fattoush Salad (1.5 cups),Meal/Vegetarian,Lunch,250,5.0,25.0,15.0
Pita Goreng (1/2 pita dalam salad),Fried Pita (1/2 pita in salad),Grain,Lunch,80,2.0,12.0,3.0
Sumac (1/2 sdt saus),Sumac (1/2 tsp dressing),Condiment,Lunch,5,0.1,1.0,0.2
Molase Delima (1 sdt),Pomegranate Molasses (1 tsp),Condiment,Lunch,15,0.0,4.0,0.0
